run_id,feature_set,model,n_features,auc_roc,pr_auc,sensitivity,specificity,accuracy,test_pos,test_neg,fold,train_rows,test_rows,train_pos,train_neg,train_subjects,test_subjects,train_single_class,best_params,best_inner_score
doe_v1_all_models,bp_plus_rms,gradient_boosting,12,0.5537820512820513,0.011030960051020935,0.0,0.9905263157894735,0.9815716272600833,52,5700,6,46492,5752,597,45895,chb05;chb09;chb14;chb20;chb22;chb23,chb16,,,
doe_v1_all_models,bp_plus_rms,gradient_boosting,12,0.8598127572016461,0.21770603513872683,0.0,0.9999999999999997,0.9374999999999997,180,2700,7,49364,2880,469,48895,chb05;chb09;chb14;chb16;chb20;chb22,chb23,,,
doe_v1_all_models,bp_plus_rms_kurt,logreg,14,,,,0.1464102564102564,0.1464102564102564,0,11700,1,40544,11700,649,39895,chb09;chb14;chb16;chb20;chb22;chb23,chb05,,,
doe_v1_all_models,bp_plus_rms_kurt,logreg,14,0.7851551106167347,0.023684736395017954,0.93103448275861,0.5103225806451612,0.5142217961009906,87,9300,2,42857,9387,562,42295,chb05;chb09;chb14;chb16;chb20;chb23,chb22,,,
doe_v1_all_models,bp_plus_rms_kurt,logreg,14,0.6413034603549465,0.01960582388346504,0.17557251908396812,0.8330074755606669,0.8232494901427598,131,8695,3,43418,8826,518,42900,chb05;chb09;chb14;chb16;chb22;chb23,chb20,,,
doe_v1_all_models,bp_plus_rms_kurt,logreg,14,0.34153377110694183,0.007788984521817742,0.268292682926826,0.5656410256410256,0.5625475767571682,82,7800,4,44362,7882,567,43795,chb05;chb09;chb16;chb20;chb22;chb23,chb14,,,
doe_v1_all_models,bp_plus_rms_kurt,logreg,14,0.8831998800419855,0.19968080364439855,0.9658119658119576,0.5442105263157894,0.5526903902355165,117,5700,5,46427,5817,532,45895,chb05;chb14;chb16;chb20;chb22;chb23,chb09,,,
doe_v1_all_models,bp_plus_rms_kurt,logreg,14,0.6730802968960864,0.015122336550215347,0.692307692307679,0.5466666666666666,0.5479833101529902,52,5700,6,46492,5752,597,45895,chb05;chb09;chb14;chb20;chb22;chb23,chb16,,,
doe_v1_all_models,bp_plus_rms_kurt,logreg,14,0.8261995884773663,0.31820786435115783,0.0,0.9999999999999997,0.9374999999999997,180,2700,7,49364,2880,469,48895,chb05;chb09;chb14;chb16;chb20;chb22,chb23,,,
doe_v1_all_models,bp_plus_rms_kurt,random_forest,14,,,,0.984188034188034,0.984188034188034,0,11700,1,40544,11700,649,39895,chb09;chb14;chb16;chb20;chb22;chb23,chb05,,,
doe_v1_all_models,bp_plus_rms_kurt,random_forest,14,0.9126121616611049,0.27960931089419583,0.0,0.9998924731182793,0.9906253329072119,87,9300,2,42857,9387,562,42295,chb05;chb09;chb14;chb16;chb20;chb23,chb22,,,
doe_v1_all_models,bp_plus_rms_kurt,random_forest,14,0.8771014314623213,0.22351164950700783,0.0,0.9998849913743528,0.9850441876274642,131,8695,3,43418,8826,518,42900,chb05;chb09;chb14;chb16;chb22;chb23,chb20,,,
doe_v1_all_models,bp_plus_rms_kurt,random_forest,14,0.7928533458411507,0.04434586048766433,0.0,0.9967948717948717,0.9864247652879978,82,7800,4,44362,7882,567,43795,chb05;chb09;chb16;chb20;chb22;chb23,chb14,,,
doe_v1_all_models,bp_plus_rms_kurt,random_forest,14,0.614990253411306,0.024154199329179053,0.0,0.9999999999999999,0.9798865394533263,117,5700,5,46427,5817,532,45895,chb05;chb14;chb16;chb20;chb22;chb23,chb09,,,
doe_v1_all_models,bp_plus_rms_kurt,random_forest,14,0.620644399460189,0.012677004771003033,0.0,0.9989473684210525,0.9899165507649512,52,5700,6,46492,5752,597,45895,chb05;chb09;chb14;chb20;chb22;chb23,chb16,,,
doe_v1_all_models,bp_plus_rms_kurt,random_forest,14,0.7427510288065844,0.3321986281414313,0.0,0.9999999999999997,0.9374999999999997,180,2700,7,49364,2880,469,48895,chb05;chb09;chb14;chb16;chb20;chb22,chb23,,,
doe_v1_all_models,bp_plus_rms_kurt,svm,14,,,,0.9834188034188033,0.9834188034188033,0,11700,1,40544,11700,649,39895,chb09;chb14;chb16;chb20;chb22;chb23,chb05,,,
doe_v1_all_models,bp_plus_rms_kurt,svm,14,0.7533580521567174,0.027563681380803423,0.0,0.9981720430107525,0.9889208479812505,87,9300,2,42857,9387,562,42295,chb05;chb09;chb14;chb16;chb20;chb23,chb22,,,
doe_v1_all_models,bp_plus_rms_kurt,svm,14,0.8517714401099166,0.18575058596003052,0.22900763358778453,0.9937895342150659,0.9824382506231586,131,8695,3,43418,8826,518,42900,chb05;chb09;chb14;chb16;chb22;chb23,chb20,,,
doe_v1_all_models,bp_plus_rms_kurt,svm,14,0.5974265165728581,0.03476531371809189,0.07317073170731618,0.9882051282051281,0.9786856127886322,82,7800,4,44362,7882,567,43795,chb05;chb09;chb16;chb20;chb22;chb23,chb14,,,
doe_v1_all_models,bp_plus_rms_kurt,svm,14,0.2510316389263758,0.01269959990387583,0.0,0.99859649122807,0.9785112600997076,117,5700,5,46427,5817,532,45895,chb05;chb14;chb16;chb20;chb22;chb23,chb09,,,
doe_v1_all_models,bp_plus_rms_kurt,svm,14,0.5943066801619433,0.013417355159265548,0.05769230769230658,0.9740350877192981,0.9657510431154379,52,5700,6,46492,5752,597,45895,chb05;chb09;chb14;chb20;chb22;chb23,chb16,,,
doe_v1_all_models,bp_plus_rms_kurt,svm,14,0.7796028806584363,0.18539137103659772,0.0,0.9999999999999997,0.9374999999999997,180,2700,7,49364,2880,469,48895,chb05;chb09;chb14;chb16;chb20;chb22,chb23,,,
doe_v1_all_models,bp_plus_rms_kurt,gradient_boosting,14,,,,0.9552136752136751,0.9552136752136751,0,11700,1,40544,11700,649,39895,chb09;chb14;chb16;chb20;chb22;chb23,chb05,,,
doe_v1_all_models,bp_plus_rms_kurt,gradient_boosting,14,0.9355506117908787,0.2813878396406606,0.05747126436781543,0.9992473118279568,0.9905188025993393,87,9300,2,42857,9387,562,42295,chb05;chb09;chb14;chb16;chb20;chb23,chb22,,,
